tag,frequency,fandom_specific,category
Yagi Toshinori | All Might is Midoriya Izuku's Parent,2,TRUE,Fandom
Magic-User Midoriya Izuku,2,TRUE,Fandom
Thirsty Bakugou Katsuki,2,TRUE,Fandom
Midoriya Izuku Has Panic Attacks,2,TRUE,Fandom
Midoriya Izuku is Not a Hero,2,TRUE,Fandom
Protective Kayama Nemuri | Midnight,2,TRUE,Fandom
Midoriya Inko Adopts Everyone,2,TRUE,Fandom
Aizawa Shouta | Eraserhead and Midoriya Izuku are Siblings,2,TRUE,Fandom
Younger Sibling Midoriya Izuku,2,TRUE,Fandom
Vigilante Midoriya Inko,2,TRUE,Fandom
Submissive Bakugou Katsuki,2,TRUE,Fandom
Midoriya Izuku and Shinsou Hitoshi Are Siblings,2,TRUE,Fandom
Cryptid Nedzu (My Hero Academia),2,TRUE,Fandom
U.A. Has a Traitor (My Hero Academia),2,TRUE,Fandom
Bakugou Mitsuki is a Good Friend,2,TRUE,Fandom
Insecure Bakugou Katsuki,2,TRUE,Fandom
Insecure Kirishima Eijirou,2,TRUE,Fandom
Shinsou Hitoshi-centric,2,TRUE,Fandom
Hero Public Safety Commission's A+ Parenting,2,TRUE,Fandom
Takami Keigo | Hawks Needs a Hug,2,TRUE,Fandom
Older Sibling Shigaraki Tomura | Shimura Tenko,2,TRUE,Fandom
Truth Quirk (My Hero Academia),2,TRUE,Fandom
Cute Bakugou Katsuki,2,TRUE,Fandom
Yagi Toshinori | All Might is Bad at Feelings,2,TRUE,Fandom
Bakugou Katsuki Being Less of an Asshole,2,TRUE,Fandom
Soft Kirishima Eijirou,2,TRUE,Fandom
Midoriya Izuku has Scars,2,TRUE,Fandom
Mineta Minoru is a Decent Human Being,2,TRUE,Fandom
Monoma Neito is a Little Shit,2,TRUE,Fandom
Mentor Nedzu,2,TRUE,Fandom
Midoriya calls 1-A his family,2,TRUE,Fandom
Everyone is confused about Izuku,2,TRUE,Fandom
Shinsou is the only smart one,2,TRUE,Fandom
Izuku Just Wants To Sleep,2,TRUE,Fandom
Quirkless Bakugou Katsuki,2,TRUE,Fandom
Bakugou Katsuki is a Mess,2,TRUE,Fandom
Dekusquad,2,TRUE,Fandom
Crying Midoriya Izuku,2,TRUE,Fandom
Sugar Daddy Bakugou Katsuki,2,TRUE,Fandom
